Date,FDIC certificate number,Primary ABA routing number,Financial institution name,Address,City,State,Zip Code,Rank by $ Deposits,Deposits $,Accounts #,Average deposit $,Unrealized gain-loss $,Unrealized gain-loss % of tier 1 capital,URL,URLs to accept or solicit deposits,Teller,Plaid
6/30/2023,14311,104907708,ADAMS COUNTY BANK,401 N SMITH AVE ,KENESAW,NE,68956,3277,"$141,296,000",4970,"$28,430","-$7,857,000",-35.04%,http://www.adamscountybank.net,,Unknown,Supported
6/30/2023,6423,21204416,AMBOY BANK,3590 U.S. HIGHWAY 9 SOUTH ,OLD BRIDGE,NJ,8857,440,"$2,174,992,000",37808,"$57,527","-$14,301,000",-4.58%,www.amboybank.com,,Unknown,Supported
6/30/2023,15899,101101992,FUSION BANK,116 WEST 6TH STREET ,LARNED,KS,67550,3144,"$158,678,000",4100,"$38,702","-$5,053,000",-19.29%,www.fusion.bank,,Unknown,#N/A
6/30/2023,1607,91903831,"BANK OF ELK RIVER, THE",630 MAIN ST. ,ELK RIVER,MN,55330,1293,"$608,970,000",28863,"$21,099","-$18,190,000",-32.67%,www.thebankofelkriver.com,,Unknown,#N/A
6/30/2023,15050,82902003,FIRST STATE BANK,101 SOUTH CENTER STREET ,LONOKE,AR,72086,2400,"$266,568,000",6480,"$41,137","-$7,265,000",-23.21%,http://https://www.firststatebk.com,,Missing,Supported
6/30/2023,8172,72405604,LAKE-OSCEOLA STATE BANK,790 NORTH MICHIGAN AVENUE ,BALDWIN,MI,49304,1774,"$415,319,000",17849,"$23,268","-$18,720,000",-39.46%,www.losb.com,,Unknown,Supported
6/30/2023,19070,84201029,FIRST NATIONAL BANK OF CLARKSDALE,402 EAST SECOND STREET ,CLARKSDALE,MS,38614,2070,"$333,423,000",8608,"$38,734","-$16,860,000",-34.85%,http://www.fnbclarksdale.com,,Unknown,Supported
6/30/2023,5709,61107861,"FARMERS BANK, THE",202 SOUTH MAIN STREET ,GREENSBORO,GA,30642,3530,"$118,674,000",2804,"$42,323","-$6,906,000",-43.02%,www.farmbk.com,,Unknown,#N/A
6/30/2023,17011,61212866,FNB SOUTH,423 WEST 12TH STREET ,ALMA,GA,31510,1665,"$455,698,000",16608,"$27,438","-$999,000",-1.07%,http://www.fnbsouth.net,,Unknown,Supported
6/30/2023,12201,84202280,"CLEVELAND STATE BANK, THE",110 COMMERCE AVENUE ,CLEVELAND,MS,38732,2303,"$285,227,000",9674,"$29,484","-$17,970,000",-55.53%,www.clevelandstatebank.com,,Unknown,#N/A
6/30/2023,6560,44000024,"HUNTINGTON NATIONAL BANK, THE",17 SOUTH HIGH STREET ,COLUMBUS,OH,43215,20,"$163,262,111,000",7410219,"$22,032","-$5,016,419,000",-31.69%,www.huntington.com,apply.huntington.com,Unknown,#N/A
6/30/2023,10012,75904377,"PORTAGE COUNTY BANK, THE",1155 COUNTY ROAD D ,ALMOND,WI,549099777,3077,"$167,385,000",7656,"$21,863","-$6,479,000",-31.23%,http://www.PORTAGECOUNTYBANK.COM,,Unknown,#N/A
6/30/2023,1291,82901635,FARMERS BANK & TRUST COMPANY,200 EAST MAIN STREET ,MAGNOLIA,AR,71753,404,"$2,409,361,000",69373,"$34,731","-$110,132,000",-47.18%,www.myfarmers.bank,,Unknown,#N/A
6/30/2023,23622,211370859,BRISTOL COUNTY SAVINGS BANK,35 BROADWAY ,TAUNTON,MA,2780,394,"$2,489,491,000",59512,"$41,832","-$53,219,000",-13.25%,www.bristolcountysavings.com,,Unknown,#N/A
6/30/2023,10185,91907374,ELYSIAN BANK,121 EAST MAIN STREET ,ELYSIAN,MN,56028,4211,"$56,606,000",2968,"$19,072","-$372,000",-4.99%,www.elysianbank.net,,Unknown,#N/A
6/30/2023,5425,104107786,BANK OF LEWELLEN,302 MAIN STREET ,LEWELLEN,NE,69147,4576,"$18,424,000",1029,"$17,905","-$256,000",-5.41%,www.bankoflewellen.com,,Unknown,#N/A
6/30/2023,9378,101902146,F & C BANK,1006 EAGLE CREST DRIVE ,HOLDEN,MO,64040,2208,"$302,301,000",14099,"$21,441","-$1,295,000",-3.62%,https://www.fandcbank.com,,Unknown,#N/A
6/30/2023,16795,103112730,BANK OF LOCUST GROVE,124 EAST MAIN STREET ,LOCUST GROVE,OK,74352,4316,"$47,831,000",2152,"$22,226","-$20,000",-0.24%,www.banklg.com,,Unknown,#N/A
6/30/2023,18101,101104711,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",111 NORTH MAIN STREET ,BUCKLIN,KS,67834,4188,"$58,496,000",2393,"$24,445","-$1,192,000",-21.80%,www.fsbbucklin.com,,Unknown,#N/A
6/30/2023,16243,123203535,BANK OF EASTERN OREGON,279 NORTH MAIN STREET ,HEPPNER,OR,97836,1095,"$742,439,000",27618,"$26,882","-$9,786,000",-12.95%,www.beobank.com,,Unknown,Supported
6/30/2023,30291,311372252,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",301 X.I.T. DRIVE ,LITTLEFIELD,TX,79339,4375,"$42,921,000",1813,"$23,674","$27,000",0.25%,http://firstfedlfd.com,,Unknown,#N/A
6/30/2023,10956,91907471,NORTHVIEW BANK,510 MAIN STREET ,SANDSTONE,MN,55072,1913,"$372,605,000",25146,"$14,818","-$7,945,000",-18.15%,http://www.northviewbank.com,www.vacationpropertyloans.com,Unknown,#N/A
6/30/2023,26189,36002085,"HAVERFORD TRUST COMPANY, THE",100 MATSONFORD ROAD 3 RADNOR CORPORATE CENTER SUITE 450,RADNOR,PA,19087,3514,"$120,107,000",720,"$166,815","-$4,000",-0.01%,https://haverfordquality.com,,Unknown,#N/A
6/30/2023,4365,74900657,FIRST MERCHANTS BANK,200 EAST JACKSON STREET ,MUNCIE,IN,47305,106,"$14,667,636,000",406458,"$36,086","-$629,236,000",-37.00%,http://www.firstmerchants.com,,Unknown,#N/A
6/30/2023,26260,103102494,"FIRST NATIONAL BANK IN MARLOW, THE",301 WEST MAIN STREET ,MARLOW,OK,73055,4088,"$67,778,000",2889,"$23,461","-$2,139,000",-38.64%,WWW.FNBMARLOW.COM,,Unknown,#N/A
6/30/2023,2224,92903542,"BANK OF BRIDGER, NATIONAL ASSOCIATION",101 S. MAIN STREET ,BRIDGER,MT,59014,1196,"$671,451,000",25916,"$25,909","-$45,881,000",-63.30%,www.bankofbridger.com,www.bankofjoliet.com,Unknown,#N/A
6/30/2023,29904,264271280,ELIZABETHTON FEDERAL SAVINGS BANK,112-114 NORTH SYCAMORE STREET ,ELIZABETHTON,TN,376433326,2888,"$190,198,000",8736,"$21,772","-$13,002,000",-10.08%,www.elizfed.com,,Unknown,#N/A
6/30/2023,3091,114904953,"FIRST NATIONAL BANK OF BASTROP, THE",489 HIGHWAY 71 WEST ,BASTROP,TX,786023217,983,"$856,613,000",36178,"$23,678","-$53,609,000",-46.99%,www.fnbbastrop.bank,,Unknown,#N/A
6/30/2023,7900,43311497,"NEXTIER BANK, NA",222 MARKET STREET ,KITTANNING,PA,16201,539,"$1,744,859,000",54272,"$32,150","-$25,458,000",-13.63%,https://www.nextierbank.com,,Unknown,#N/A
6/30/2023,9998,52203703,CAPON VALLEY BANK,2 W MAIN ST ,WARDENSVILLE,WV,26851,2909,"$188,117,000",11682,"$16,103","-$4,072,000",-19.67%,www.caponvalleybank.com,,Unknown,Supported
6/30/2023,4147,103103778,BANK7,1039 NW 63RD STREET ,OKLAHOMA CITY,OK,73116,615,"$1,509,668,000",22525,"$67,022","-$11,006,000",-6.84%,www.bank7.com,,Unknown,#N/A
6/30/2023,9881,103110907,SECURITY BANK AND TRUST COMPANY,2 SOUTH MAIN STREET ,MIAMI,OK,74354,3591,"$113,502,000",4049,"$28,032","-$2,499,000",-22.55%,https://www.sbtmiami.com,,Unknown,#N/A
6/30/2023,15477,61201042,CITIZENS BANK OF AMERICUS,119 NORTH LEE STREET ,AMERICUS,GA,31709,1894,"$377,846,000",12370,"$30,545","-$13,023,000",-32.21%,www.cbkamericus.com,,Unknown,#N/A
6/30/2023,34711,243374108,FARMERS BUILDING AND SAVINGS BANK,290 WEST PARK ,ROCHESTER,PA,15074,3827,"$91,198,000",2162,"$42,182","-$4,252,000",-17.85%,,,Unknown,#N/A
6/30/2023,10015,91806242,SECURITY BANK,112 EAST MAIN ST. ,NEW AUBURN,WI,54757,3314,"$138,228,000",6746,"$20,490","-$410,000",-1.95%,www.securityonlinebank.com,,Unknown,Supported
6/30/2023,6803,51501723,MCNB BANK AND TRUST CO.,75 WYOMING ST ,WELCH,WV,24801,2221,"$299,747,000",8981,"$33,376","-$7,411,000",-17.82%,www.mcnbbanks.com,,Unknown,#N/A
6/30/2023,10998,91902793,FM BANK,702 PRENTICE ST. ,GRANITE FALLS,MN,56241,1439,"$537,747,000",13278,"$40,499","-$6,593,000",-15.71%,mybankfm.com,fmbankminnesota.com,Unknown,#N/A
6/30/2023,16583,101114565,STATE BANK OF BURRTON,200 NORTH BURRTON ,BURRTON,KS,67020,4602,"$11,699,000",330,"$35,452","-$213,000",-16.35%,www.statebankofburrtononline.com,,Unknown,Supported
6/30/2023,22263,91205128,AMERICAN STATE BANK OF GRYGLA,102 SOUTH MAIN AVENUE ,GRYGLA,MN,56727,4127,"$64,049,000",3422,"$18,717","-$2,542,000",-34.74%,http://www.asbgrygla.com,,Unknown,#N/A
6/30/2023,12511,91803355,ALLIANCE BANK,245 S. EAU CLAIRE ST. ,MONDOVI,WI,54755,2912,"$187,898,000",11457,"$16,400","-$6,002,000",-28.33%,www.alliancebank.us,,Unknown,Supported
6/30/2023,1753,82901567,UNION BANK & TRUST COMPANY,102 WEST MCCLOY ,MONTICELLO,AR,71655,2464,"$254,904,000",12134,"$21,007","-$8,153,000",-28.18%,http://www.unionbnk.com,,Unknown,#N/A
6/30/2023,8162,72406506,STATE SAVINGS BANK,703 MAIN STREET ,FRANKFORT,MI,49635,2154,"$315,017,000",11569,"$27,229","-$480,000",-1.49%,www.ssbankmi.com,,Unknown,#N/A
6/30/2023,10576,91204462,FIRST SOUTHEAST BANK,3 MAIN AVENUE NORTH ,HARMONY,MN,55939,3696,"$103,221,000",5306,"$19,454","-$2,279,000",-23.98%,http://www.firstsoutheastbank.com,,Unknown,Supported
6/30/2023,2452,51502159,WEST UNION BANK,212 MAIN STREET ,WEST UNION,WV,26456,2586,"$235,549,000",8346,"$28,223","-$15,889,000",-69.23%,http://www.westunionbank.com,,Unknown,Supported
6/30/2023,5162,91204763,"FIRST NATIONAL BANK OF HENNING, THE",106 MN HWY 78 NORTH ,OTTERTAIL,MN,56571,2368,"$272,945,000",12832,"$21,271","-$11,611,000",-35.38%,www.fnbhenning.com,,Unknown,#N/A
6/30/2023,6976,21406667,DIME COMMUNITY BANK,2200 MONTAUK HIGHWAY ,BRIDGEHAMPTON,NY,11932,134,"$10,776,870,000",125846,"$85,635","-$216,865,000",-16.22%,http://www.dime.com,,Unknown,#N/A
6/30/2023,90,82905343,COMMERCIAL BANK & TRUST COMPANY,212 WEST GAINES STREET ,MONTICELLO,AR,71655,2615,"$231,611,000",11547,"$20,058","-$15,277,000",-62.57%,http://www.commercial-bank.net,,Unknown,#N/A
6/30/2023,5357,91809980,FIRST NATIONAL COMMUNITY BANK,109 EAST SECOND STREET ,NEW RICHMOND,WI,54017,2321,"$281,689,000",10841,"$25,984","-$6,645,000",-24.75%,www.fnc.bank,cm.netteller.com,Unknown,Supported
6/30/2023,15995,221970980,PCSB BANK,"2651 STRANG BOULEVARD, SUITE 100 ",YORKTOWN HEIGHTS,NY,10598,574,"$1,655,031,000",38030,"$43,519","-$6,819,000",-3.91%,www.PCSB.com,,Unknown,#N/A
6/30/2023,32307,241271054,"GALION BUILDING AND LOAN BANK, THE",135 S MARKET STREET ,GALION,OH,44833,4142,"$62,581,000",4276,"$14,635","-$1,137,000",-14.36%,www.gblbank.com,,Unknown,#N/A
6/30/2023,10178,91915722,PRODUCE STATE BANK,109 PARK AVENUE WEST ,HOLLANDALE,MN,56045,3700,"$103,005,000",5882,"$17,512","-$965,000",-9.30%,www.producestatebank.com,,Unknown,#N/A
6/30/2023,12788,75901590,BARABOO STATE BANK,101 THIRD AVENUE ,BARABOO,WI,53913,1699,"$444,422,000",19449,"$22,851","-$8,607,000",-15.52%,http://www.baraboobank.com,,Unknown,Supported
6/30/2023,20093,103001456,ALL AMERICA BANK,200 S. ROCKWELL AVENUE ,OKLAHOMA CITY,OK,73128,1433,"$540,627,000",27059,"$19,980","-$4,044,000",-8.71%,https://www.allamerica.bank,https://www.redneck.bank,Unknown,Supported
6/30/2023,22536,71924681,FIRST SECURE BANK AND TRUST CO.,10360 SOUTH ROBERTS ROAD ,PALOS HILLS,IL,60465,2156,"$314,841,000",5811,"$54,180","-$3,006,000",-8.53%,www.firstsecurebank.com,,Unknown,#N/A
6/30/2023,3405,114915272,VANTAGE BANK TEXAS,"45 NE LOOP 410, SUITE 500 ",SAN ANTONIO,TX,78216,334,"$2,977,822,000",40426,"$73,661","-$25,526,000",-7.09%,www.vantage.bank,,Unknown,#N/A
6/30/2023,29294,291571270,PREVAIL BANK,675 EAST BROADWAY AVENUE ,MEDFORD,WI,54451,1178,"$685,505,000",24074,"$28,475","-$24,100,000",-19.59%,www.prevail.bank,,Unknown,#N/A
6/30/2023,14078,275971854,BLACKHAWK BANK,400 BROAD STREET ,BELOIT,WI,53511,741,"$1,196,271,000",62439,"$19,159","-$48,570,000",-40.03%,www.blackhawkbank.com,www.blackhawkbank.com,Unknown,#N/A
6/30/2023,10663,41208719,"ANDOVER BANK, THE",19 PUBLIC SQUARE ,ANDOVER,OH,440030519,1472,"$529,935,000",29687,"$17,851","-$40,683,000",-78.89%,www.andover.bank,,Unknown,#N/A
6/30/2023,1527,82904056,DIAMOND BANK,319 EAST MAIN STREET ,MURFREESBORO,AR,71958,1121,"$724,929,000",31175,"$23,254","-$20,522,000",-25.25%,www.diamond.bank,www.diamondbanking.com,Unknown,Supported
6/30/2023,28710,226071457,NORTHFIELD BANK,1731 VICTORY BOULEVARD ,STATEN ISLAND,NY,10314,284,"$3,844,964,000",100744,"$38,166","-$63,260,000",-9.10%,www.enorthfield.com,,Unknown,#N/A
6/30/2023,11415,91908179,HARVEST BANK,75 NORTH MAIN STREET ,KIMBALL,MN,55353,2813,"$200,794,000",9280,"$21,637","-$3,383,000",-18.50%,www.harvestbankmn.com,www.facebook.com/harvestbankmn,Unknown,#N/A
6/30/2023,29293,291871226,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",1390 SECOND AVE. ,CUMBERLAND,WI,54829,2712,"$216,179,000",5167,"$41,838","-$6,824,000",-26.68%,www.cumberlandfederal.com,,Unknown,#N/A
6/30/2023,1475,64102384,PEOPLES BANK & TRUST COMPANY,1203 HILLSBORO BOULEVARD ,MANCHESTER,TN,37355,3539,"$118,295,000",6031,"$19,614","-$2,513,000",-13.87%,www.bankwithpeoples.com,,Unknown,Supported
6/30/2023,31711,284170109,RIVERBANK,203 W. BROADWAY ST. PO BOX 397,POCAHONTAS,AR,72455,3971,"$77,900,000",2836,"$27,468","-$496,000",-3.20%,eriverbank.com,,Unknown,#N/A
6/30/2023,12204,65302154,"CITIZENS BANK OF PHILADELPHIA, THE",521 MAIN STREET ,PHILADELPHIA,MS,39350,784,"$1,103,950,000",47463,"$23,259","-$73,374,000",-58.66%,www.thecitizensbankphila.com,,Unknown,#N/A
6/30/2023,30303,221472792,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,56-18 69TH ST ,MASPETH,NY,11378,676,"$1,358,392,000",39313,"$34,553","-$3,937,000",-0.54%,www.maspethfederal.com,,Unknown,#N/A
6/30/2023,26658,111316829,AMISTAD BANK,1301 VETERANS BLVD ,DEL RIO,TX,788403621,4428,"$37,907,000",1889,"$20,067","-$158,000",-2.34%,http://www.amistadbank.com,,Unknown,Supported
6/30/2023,14240,11700425,NORTHWAY BANK,9 MAIN STREET ,BERLIN,NH,3570,815,"$1,069,593,000",42330,"$25,268","-$49,907,000",-44.06%,http://www.northwaybank.com,,Unknown,Supported
6/30/2023,8193,91008299,LAKE COMMUNITY BANK,1964 W. WAYZATA BLVD. ,LONG LAKE,MN,55356,3432,"$127,243,000",3999,"$31,819","-$2,361,000",-13.30%,www.lcbankmn.com,,Unknown,Supported
6/30/2023,5649,31100649,DISCOVER BANK,502 EAST MARKET STREET ,GREENWOOD,DE,19950,27,"$101,447,161,000",7091293,"$14,306","-$279,408,000",-2.06%,www.discover.com,www.discover.com/,Unknown,#N/A
6/30/2023,2160,61202245,"FIRST NATIONAL BANK OF WAYNESBORO, THE",626 LIBERTY ST ,WAYNESBORO,GA,30830,3009,"$174,912,000",9744,"$17,951","-$2,973,000",-8.99%,www.fnbwaynesboro.com,,Unknown,#N/A
6/30/2023,17612,113001077,CENTRAL BANK,11201 CLAY ROAD ,HOUSTON,TX,770415578,901,"$945,460,000",8631,"$109,542","-$16,380,000",-15.92%,http://www.centralbankhouston.com,,Unknown,Supported
6/30/2023,11904,111909443,"FIRST STATE BANK OF BEN WHEELER, TEXAS",14269 STATE HWY 64 ,BEN WHEELER,TX,75754,3074,"$168,135,000",6900,"$24,367","-$15,061,000",-58.34%,www.fsbbenwheeler.com,,Unknown,#N/A
6/30/2023,6863,51403818,POWELL VALLEY NATIONAL BANK,33785 MAIN STREET ,JONESVILLE,VA,24263,1747,"$426,036,000",17020,"$25,031","-$4,601,000",-10.34%,www.powellvalleybank.com,,Unknown,Supported
6/30/2023,8243,65302675,BANK OF ANGUILLA,130 HOLLAND STREET ,ANGUILLA,MS,38721,3036,"$171,844,000",4857,"$35,381","-$4,599,000",-19.69%,http://www.bankofanguilla.com,,Unknown,#N/A
6/30/2023,3639,71103952,FIRST NATIONAL BANK AND TRUST COMPANY,2 KELLI COURT ,CLINTON,IL,61727,1969,"$356,399,000",12342,"$28,877","-$16,799,000",-63.12%,www.firstnbtc.com,www.qwickrate.com,Unknown,#N/A
6/30/2023,21693,111906048,LAKESIDE BANK,2805 RIDGE ROAD ,ROCKWALL,TX,75032,2460,"$255,421,000",2962,"$86,233",,,http://www.LBTEXAS.com,,Unknown,Supported
6/30/2023,28894,274970607,SECURITY FEDERAL SAVINGS BANK,314 FOURTH STREET ,LOGANSPORT,IN,46947,2118,"$323,927,000",17845,"$18,152","-$6,087,000",-15.52%,www.secfedbank.com,,Unknown,#N/A
6/30/2023,1027,84101051,FARMERS BANK AND TRUST COMPANY,400 WEST MAIN STREET ,BLYTHEVILLE,AR,72315,2095,"$327,887,000",9291,"$35,291","-$1,335,000",-4.01%,www.fbtbly.com,,Unknown,#N/A
6/30/2023,21714,96005093,PREMIER BANK,2866 WHITE BEAR AVE. ,MAPLEWOOD,MN,55109,959,"$875,816,000",21176,"$41,359","-$18,422,000",-17.74%,www..premierbanks.com,www.remotedeposit.premierbanks.com,Unknown,#N/A
6/30/2023,31723,242170374,"HOME SAVINGS BANK, FSB",202 ELM STREET ,LUDLOW,KY,41016,4583,"$17,102,000",1283,"$13,330",,,www.homesavingsbanknky.com,,Unknown,#N/A
6/30/2023,10075,71112354,PEOPLES STATE BANK OF COLFAX,101 WEST MAIN STREET ,COLFAX,IL,61728,4436,"$37,048,000",1482,"$24,999","-$774,000",-16.01%,http://www.psbofcolfax.com,,Unknown,#N/A
